symbol,longName,industry,totalDebt_usd,Agency Rating
HUBB,Hubbell Incorporated,Electrical Equipment & Parts,"2,738,700,032",BBB+
MIELY,Mitsubishi Electric Corporation,Electrical Equipment & Parts,"2,263,104,130",A
NXPRF,Nexans S.A.,Electrical Equipment & Parts,"2,191,464,877",BB+
ENS,EnerSys,Electrical Equipment & Parts,"1,189,683,968",BB+
AYI,Acuity Inc.,Electrical Equipment & Parts,"808,200,000",BBB
YASKY,YASKAWA Electric Corporation,Electrical Equipment & Parts,"777,781,244",A
APH,Amphenol Corporation,Electronic Components,"18,748,899,328",A-
GLW,Corning Incorporated,Electronic Components,"9,923,999,744",BBB+
FLEX,Flex Ltd.,Electronic Components,"4,464,999,936",BBB-
JBL,Jabil Inc.,Electronic Components,"4,437,000,192",BBB-
TTDKY,TDK Corporation,Electronic Components,"3,837,293,133",A-
SANM,Sanmina Corporation,Electronic Components,"2,419,897,088",BB+
CLS,Celestica Inc.,Electronic Components,"941,699,968",BB+
TTWO,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,"2,958,299,904",BBB
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,"1,854,000,000",BB-
RBLX,Roblox Corporation,Electronic Gaming & Multimedia,,BBB-
SNX,TD SYNNEX Corporation,Electronics & Computer Distribution,"5,158,170,112",BBB-
AVT,"Avnet, Inc.",Electronics & Computer Distribution,"3,172,492,032",BBB-
ARW,"Arrow Electronics, Inc.",Electronics & Computer Distribution,"2,465,765,888",BBB-
RXLSF,Rexel S.A.,Electronics & Computer Distribution,,BB+
NSIT,Insight Enterprise,Electronics & Computer Distribution,,BB+
VCISY,Vinci SA,Engineering & Construction,"47,023,068,586",A-
GKTRF,Gek Terna S.A.,Engineering & Construction,"7,063,314,192",BBB-
PWR,"Quanta Services, Inc.",Engineering & Construction,"6,319,672,832",BBB
NWSZF,CTF Services Limited,Engineering & Construction,"4,512,186,336",A+
IMPJY,Webuild S.p.A.,Engineering & Construction,"3,538,685,138",BB+
ACM,AECOM,Engineering & Construction,"3,346,927,104",BB+
DY,"Dycom Industries, Inc.",Engineering & Construction,"2,998,935,040",BB+
KBR,"KBR, Inc.",Engineering & Construction,"2,811,000,064",BB+
ACA,"Arcosa, Inc.",Engineering & Construction,"1,579,699,968",BB
GVA,Granite Construction Incorporated,Engineering & Construction,"1,395,993,984",BB
FLR,Fluor Corporation,Engineering & Construction,"1,071,000,000",BB+
EME,"EMCOR Group, Inc.",Engineering & Construction,"516,518,016",BBB-
DIS,The Walt Disney Company,Entertainment,"47,358,001,152",A
NFLX,"Netflix, Inc.",Entertainment,"16,742,200,320",A
SIRI,Sirius XM Holdings Inc.,Entertainment,"9,957,000,192",BB+
FOX,Fox Corporation,Entertainment,"7,574,000,128",BBB
NWSA,News Corporation,Entertainment,"2,928,999,936",BBB-
WBD,Warner Bros. Discovery,Entertainment,,BB+
DE,Deere & Company,Farm & Heavy Construction Machinery,"48,473,001,984",A
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery,"43,065,999,360",A
KUBTY,Kubota Corporation,Farm & Heavy Construction Machinery,"14,561,368,766",A
KMTUY,Komatsu Ltd.,Farm & Heavy Construction Machinery,"8,843,354,716",A
TEX,Terex Corporation,Farm & Heavy Construction Machinery,"2,748,999,936",BB
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,"2,741,900,032",BBB-
OUKPY,Metso Oyj,Farm & Heavy Construction Machinery,"1,790,080,784",BBB
TWI,"Titan International, Inc.",Farm & Heavy Construction Machinery,"738,539,008",B
WNC,Wabash National Corporation,Farm & Heavy Construction Machinery,"530,948,992",B-
HY,"Hyster-Yale, Inc.",Farm & Heavy Construction Machinery,"505,300,000",B
BG,Bunge Global SA,Farm Products,"16,291,000,320",A-
ADM,Archer-Daniels-Midland Company,Farm Products,"10,657,000,448",A
TSN,"Tyson Foods, Inc.",Farm Products,"8,082,999,808",BBB
MNHVF,Mowi ASA,Farm Products,"4,083,506,596",BBB+
FDP,Fresh Del Monte Produce Inc.,Farm Products,"628,899,968",BB
PFGC,Performance Food Group Company,Food Distribution,"7,877,899,776",BB
BZLFY,Bunzl plc,Food Distribution,"3,952,357,338",BBB+
UNFI,"United Natural Foods, Inc.",Food Distribution,"3,152,999,936",B+
SYY,Sysco Corporation,Food Distribution,,BBB
USFD,US Foods Holding Corp.,Food Distribution,,BB+
NKE,"NIKE, Inc.",Footwear & Accessories,"11,178,000,384",A+
CROX,"Crocs, Inc.",Footwear & Accessories,"1,725,443,968",BB
ADDYY,Adidas AG,Footwear & Accessories,,A
PMMAF,PUMA SE,Footwear & Accessories,,BBB+
BIRK,Birkenstock Holding plc,Footwear & Accessories,,BB+
WWW,"Wolverine World Wide, Inc.",Footwear & Accessories,,B+
WHR,Whirlpool Corporation,"Furnishings, Fixtures & Appliances","7,104,000,000",BB-
MHK,"Mohawk Industries, Inc.","Furnishings, Fixtures & Appliances","2,523,500,032",BBB+
HNI,HNI Corporation,"Furnishings, Fixtures & Appliances","1,727,600,000",BB+
